,Link2 length,Link3 length,Link4 length,Link5 length,Link6 length,Success_Rates,Manipulability_Rates,Joint2 type_pitch,Joint2 type_pris,Joint2 type_roll,Joint3 type_pitch,Joint3 type_pris,Joint3 type_roll,Joint4 type_pitch,Joint4 type_pris,Joint4 type_roll,Joint5 type_pitch,Joint5 type_pris,Joint5 type_roll,Joint6 type_pitch,Joint6 type_pris,Joint6 type_roll,Joint2 axis_y,Joint2 axis_z,Joint3 axis_x,Joint3 axis_y,Joint3 axis_z,Joint4 axis_x,Joint4 axis_y,Joint4 axis_z,Joint5 axis_x,Joint5 axis_y,Joint5 axis_z,Joint6 axis_x,Joint6 axis_y,Joint6 axis_z,Configuration index
83,0.1,0.1,0.3,0.7,0.3,0.5,0.0304669262341208,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,4371
84,0.1,0.1,0.3,0.5,0.5,0.4,0.0003182373996327,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,4154
85,0.1,0.1,0.3,0.7,0.7,0.5,0.0174164838607348,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,4121
86,0.1,0.1,0.5,0.1,0.5,0.3,0.3241799975711315,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,4305
87,0.1,0.1,0.5,0.1,0.5,0.5,0.0002093393610254,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,4374
88,0.1,0.1,0.5,0.7,0.3,0.7,0.3380051482751745,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,4185
89,0.1,0.1,0.5,0.5,0.1,0.1,0.2777773762071516,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,4092
90,0.1,0.1,0.5,0.7,0.1,0.7,0.0001932662413683,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,4093
91,0.1,0.1,0.7,0.3,0.7,0.7,0.035448214417819,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,4241
92,0.1,0.1,0.7,0.3,0.5,0.1,0.0393886518925024,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,4298
93,0.1,0.1,0.7,0.7,0.1,0.4,0.0652837038519506,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,4065
94,0.1,0.1,0.1,0.3,0.7,0.3,0.063477775768379,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,3970
95,0.1,0.1,0.1,0.7,0.7,0.1,0.470183505621103,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,3940
96,0.1,0.1,0.3,0.3,0.5,0.5,0.0385350926238774,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,4050
